63 62
###############################################################
###############################################################
###############################################################
###############################################################
###############################################################
#############                  ################################
#############################    ##############################
###########################    ################################
############################      #############################
###########################    ################################
###################   ######     ##############################
################         ###   ################################
############                      #############################
########                            ###########################
###########          ###           ############################
###########         ########        ###########################
############         ########           #######################
##########################              #######################
##########################              #######################
###########################                    ################
###########################         ###########################
#########################           ###########################
#########################           ###########################
#######################            ############################
#####################           ###############################
#####################                ##########################
########################            ###########################
########################             ##########################
####################                          #################
#################                             #################
############                             ######################
####################                     ######################
##################                #############################
###############                                        ########
###################                                   #########
#######################                                ########
####################                 ########          ########
####################                 #######          #########
######################              #######           #########
#####################               ####              #########
#####################              #####            ###########
#####################                                 #########
############                                          #########
#############                                       ###########
###########                                  ##################
#########                                  ####################
#######                                              ##########
########                           ####                  ######
######                         #########                #######
########                        ##########              #######
#####                          ###########               ######
##########                   #############              #######
#########                   ################            #######
######                        ##############          #########
#####                   ###################              ######
######                 #######################          #######
###                      #####                      ###########
##      #                                          ############
##    ####                                       ##############
##                                                      #######
#                                                        ######
###############################################################
