64 64
###############################################################
###############################################################
###############################################################
###############################################################
###############################################################
#############                  ################################
#############################    ##############################
###########################    ################################
############################      #############################
###########################    ################################
###################   ######     ##############################
################         ###   ################################
############                      #############################
########                            ###########################
###########          ###           ############################
###########         ########        ###########################
############         ########           #######################
##########################              #######################
##########################              #######################
###########################                    ################
###########################         ###########################
#########################           ###########################
#########################           ###########################
#######################            ############################
#####################           ###############################
#####################                ##########################
########################            ###########################
########################             ##########################
####################                          #################
#################                             #################
############                             ######################
####################                     ######################
##################                #############################
###############                         #######################
###################                 ###########################
#######################               #########################
####################                 ##########################
####################                 ##########################
######################              ###########################
#####################               ###########################
#####################              ############################
#####################                  ########################
############                                          #########
#############                                       ###########
###########                                        ############
#########                                           ###########
#######                                              ##########
########                           ####                  ######
######                         ############             #######
########                        #############           #######
#####                          #############             ######
##########                   ##################         #######
#########                   #################           #######
######                        ##############          #########
#####                   ###################              ######
######                 #######################          #######
###                      #####                      ###########
##      #                                          ############
##    ####                                       ##############
##                                                      #######
#                                                        ######
###############################################################

